x,l,err_fwd_rel,err_bwd_rel,err_fwd_abs,err_bwd_abs
0.10,0,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
0.10,1,0.000000000000000e+00,2.484363728065081e+01,0.000000000000000e+00,2.484363728065081e+00
0.10,2,0.000000000000000e+00,7.683599158964172e-01,0.000000000000000e+00,3.726545592097623e-01
0.10,3,0.000000000000000e+00,1.080768401474640e+01,0.000000000000000e+00,1.594133392175094e+00
0.10,4,0.000000000000000e+00,1.652566711412504e+00,0.000000000000000e+00,5.584642630379633e-01
0.10,5,1.552075693401028e-16,6.569319230790584e+00,2.775557561562891e-17,1.174783146393242e+00
0.10,6,0.000000000000000e+00,2.735866563297537e+00,0.000000000000000e+00,6.807637960370637e-01
0.10,7,1.391306133133790e-16,4.413837421763994e+00,2.775557561562891e-17,8.805294205016095e-01
0.10,8,1.539233837750254e-16,4.218969298780252e+00,2.775557561562891e-17,7.607675878764826e-01
0.10,9,0.000000000000000e+00,3.022845935066155e+00,0.000000000000000e+00,6.389922738469840e-01
0.10,10,0.000000000000000e+00,6.600609034730243e+00,0.000000000000000e+00,8.060993611197613e-01
0.10,11,0.000000000000000e+00,1.981621300907776e+00,0.000000000000000e+00,4.270103709198491e-01
0.10,12,1.964396978814886e-16,1.161794903452289e+01,1.387778780781446e-17,8.207680687860857e-01
0.10,13,1.306172794682170e-16,1.112134037666369e+00,2.775557561562891e-17,2.363234060825366e-01
0.10,14,9.864746999035943e-16,3.280859670360812e+01,2.428612866367530e-17,8.077184350458545e-01
0.10,15,1.366672121043116e-16,3.171500610617464e-01,2.775557561562891e-17,6.440961490150221e-02
0.10,16,1.279606520898895e-15,4.731459380838624e+01,2.081668171172169e-17,7.697153957426546e-01
0.10,17,0.000000000000000e+00,4.723503690707601e-01,0.000000000000000e+00,8.879452750157207e-02
0.10,18,5.346165888963051e-16,1.366971776657378e+01,2.775557561562891e-17,7.096878267427569e-01
0.10,19,0.000000000000000e+00,1.323508350759929e+00,0.000000000000000e+00,2.223234975777104e-01
0.10,20,1.690822723468956e-16,7.686067313979689e+00,1.387778780781446e-17,6.308503533779656e-01
0.10,21,0.000000000000000e+00,2.326411404776917e+00,0.000000000000000e+00,3.349026857335174e-01
0.10,22,1.303282315913686e-16,5.040384644522509e+00,1.387778780781446e-17,5.367170851037796e-01
0.10,23,1.187515204200317e-16,3.639711575258826e+00,1.387778780781446e-17,4.253515638741040e-01
0.10,24,2.221646889120428e-16,3.450311824297588e+00,2.775557561562891e-17,4.310558586324433e-01
0.10,25,1.582366061102027e-16,5.619257866925839e+00,1.387778780781446e-17,4.928244496110987e-01
